year,week,Peyton Manning,Tom Brady,David Garrard,Jay Cutler,Michael Vick,Philip Rivers,Carson Palmer,Eli Manning,Matt Hasselbeck,Vince Young,Josh Freeman,Tony Romo,Kyle Orton,Derek Anderson,Aaron Rodgers,Drew Brees,Jason Campbell,Trent Edwards,Jake Delhomme,Brett Favre,Sam Bradford,Matt Schaub,Matt Ryan,Matt Cassel,Matt Moore,Donovan McNabb,Chad Henne,Dennis Dixon,Joe Flacco,Alex Smith,Matthew Stafford,Mark Sanchez,Seneca Wallace,Tim Tebow,Kevin Kolb,Shaun Hill,Jimmy Clausen,Bruce Gradkowski,Kerry Collins,Luke McCown,Charlie Batch,Billy Volek,Max Hall,Ryan Fitzpatrick,Josh Johnson,Caleb Hanie,Brian Hoyer,Mark Brunell,Tyler Thigpen,Todd Collins,Drew Stanton,Armanti Edwards,Ben Roethlisberger,Colt McCoy,Jon Kitna,Todd Bouman,Kyle Boller,Matt Flynn,David Carr,Troy Smith,Tarvaris Jackson,Rex Grossman,Charlie Whitehurst,Tony Pike,Chase Daniel,Sage Rosenfels,Chad Pennington,Brian St. Pierre,Rusty Smith,Jordan Palmer,John Skelton,Joe Webb,Brodie Croyle,Tyler Palko,Stephen McGee,Cam Newton,Andy Dalton,A.J. Feeley,Mike Kafka,Blaine Gabbert,Curtis Painter,Jake Locker,Colin Kaepernick,Richard Bartel,John Beck,Christian Ponder,Dan Orlovsky,Chris Redman,Matt Leinart,T.J. Yates,Tyrod Taylor,J.P. Losman,Kellen Clemens,Josh McCown,Robert Griffin III,Russell Wilson,Andrew Luck,Ryan Tannehill,Brandon Weeden,Brock Osweiler,Graham Harrell,Kirk Cousins,Brady Quinn,Ryan Mallett,Nick Foles,Byron Leftwich,Ryan Lindley,Greg McElroy,Terrelle Pryor,Isaiah Stanback,E.J. Manuel,Geno Smith,Mike Glennon,Jeff Tuel,Thaddeus Lewis,Case Keenum,Matt Barkley,Matt Simms,Matt McGloin,Scott Tolzien,Dominique Davis,Derek Carr,Austin Davis,Johnny Manziel,Blake Bortles,Teddy Bridgewater,Jimmy Garoppolo,Zach Mettenberger,Logan Thomas,Ryan Nassib,Tom Savage,Marcus Mariota,Jameis Winston,Sean Renfree,Landry Jones,A.J. McCarron,Sean Mannion,Kellen Moore,Trevor Siemian,Carson Wentz,Dak Prescott,Jacoby Brissett,Cody Kessler,Trevone Boykin,Paxton Lynch,Kevin Hogan,Bryce Petty,Brett Hundley,Jared Goff,DeShone Kizer,Deshaun Watson,Mitchell Trubisky,C.J. Beathard,Cooper Rush,Nathan Peterman,David Fales,Jake Rudock,Taylor Heinicke,Patrick Mahomes,Sam Darnold,Josh Allen,Lamar Jackson,Baker Mayfield,Taysom Hill,Josh Rosen,Joshua Dobbs,Chad Kelly,Jeff Driskel,Nick Mullens,IND,NE,JAX,CHI,PHI,SD,CIN,NYG,SEA,TEN,TB,DAL,DEN,ARI,GB,NO,OAK,BUF,CLE,MIN,STL,HOU,ATL,KC,CAR,WAS,MIA,PIT,BAL,SF,DET,NYJ,LA,LAC,HOU,CIN,DEN,DET,GB,KC,NE,CAR,SF,OAK,CLE,WAS,JAX,STL,PHI,MIN,TEN,MIA,TB,NO,ARI,IND,PIT,SD,NYG,DAL,BUF,ATL,NYJ,SEA,CHI,BAL,LA,LAC,C,home,pa_att,pa_cmp,pa_yds,pa_tds,pa_int,pa_2pts,ru_att,ru_yds,ru_tds,ru_2pts,rec_receptions,rec_yds,rec_tds,rec_2pts,fumb,fantasy points
2010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,17,182,2,1,0,2,34,0,0,0,0,0,0,0,20.68
2010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,31,282,1,0,0,0,0,0,0,0,0,0,0,0,17.28
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,295,1,1,0,2,12,0,0,0,0,0,0,0,17.0
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22,297,1,0,0,1,9,0,0,0,0,0,0,1,16.78
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19,188,2,2,0,5,9,0,0,0,0,0,0,0,16.42
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,27,237,1,0,0,4,-6,0,0,0,0,0,0,0,14.88
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,180,1,1,0,7,35,0,0,0,0,0,0,1,12.7
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,18,139,1,0,0,2,12,0,0,0,0,0,0,0,12.76
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,227,1,2,0,1,1,0,0,0,0,0,0,0,11.18
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,171,1,1,0,0,0,0,0,0,0,0,0,0,10.84
